"video_id","feature_names"
"facebook10153904226903387","Animal, People, Person, Human, Sea Life, Mammal, Trademark, Logo, Poster, Whale, Nature, Seal, Sea Lion, Humpback, Boat, Walrus, Flood"
"facebook10153945889834205","Human, People, Person, Electronics, Screen, TEXT_TOP_RIGHT, Monitor, LCD Screen, TEXT_MIDDLE_CENTER, TEXT_TOP_CENTER, TEXT_MIDDLE_LEFT, Stage, Trademark, Logo, Flyer, Brochure, Paper, Poster, Laptop, Crowd"
"facebook10153968580610891","Food, Waffle, Human, Person, People"
"facebook10153998286535891","Tablecloth, Linen, Home Decor, Human, Person, People, Food, Dessert, Creme, Cream, Plant, Flora, Agate, Gemstone, Ornament, Jewelry, Jam"
"facebook10154017302765891","Pizza, Food, People, Human, Person, Naomi Broady, Fire, Emblem, Logo, Trademark, Produce, Vegetable, Plant, Flora, Bean Sprout, Sprout, Lasagna, Pasta"
"facebook10154028214433387","Plant, Flora, Transportation, Aircraft, Airplane, Human, Person, People, Trademark, Logo, Accessories, Grain, Corn, Food, Produce, Vegetable, Algae, Silhouette, Grass, Bead"
"facebook10154029129370891","Flora, Plant, Food, Produce, Vegetable, Pepper, Fruit, Cherry, Trademark, Logo, Wood, Apple, Garlic, Gauge, Bottle, Word, Glass, Carrot"
"facebook10154031452450891","Person, People, Human, Food, Flora, Plant, Jar, Chocolate, Dessert, Pottery, Potted Plant, Vase, Produce, Vegetable, Electrical Device, Appliance, Oven, Pot, Cabbage, Garlic"
"facebook10154084629360891","Person, People, Human, Food, Egg, Flora, Plant, Meatball, Plywood, Wood"
"facebook10154086236648387","Animal, Sea Life, Mammal, Humpback, Whale, Poster, Trademark, Logo, Text"
"facebook10154101535150891","Food, Bbq, Ribs, Cooking, Human, People, Person, Trademark, Logo, Rock, Rubble, Bacon, Gravy, Coal"
"facebook10154107704164205","People, Person, Human, TEXT_MIDDLE_CENTER, TEXT_BOTTOM_RIGHT, TEXT_TOP_LEFT, TEXT_BOTTOM_LEFT, TEXT_BOTTOM_CENTER, TEXT_MIDDLE_LEFT, Audience, Speech, Crowd, Clothing, Overcoat, Coat, Suit, Electronics, Debate, Poster, Press Conference"
"facebook10154115997315891","Human, People, Person, Food, Dough, Aluminium, Tin, Coffee Cup, Cup, Can, Chocolate, Hardwood, Wood"
"facebook10154130308125891","Beverage, Drink, Alcohol, Cocktail, Cup, Logo, Trademark, Juice, Poster, Collage, Plant, Flora, Produce, Citrus Fruit, Orange, Fruit, Food, Grapefruit, Glass, Jar"
"facebook10154132542450891","Beverage, Drink, Alcohol, Cocktail, People, Human, Person, Plant, Flora, Glass, Food, Produce, Grain, Vegetable, Corn, Grapefruit, Fruit, Orange, Citrus Fruit, Bowl"
"facebook10154146690106727","Person, People, Human, Porcelain, Art, Pearl, Jewelry, Ornament, Pottery, Food, Cake, Dessert, Figurine, Cookie, Biscuit, Gingerbread, Mayonnaise, Plywood, Wood, Snow"
"facebook10154146792189205","Human, People, Person, Blonde, Female, Girl, Woman, TEXT_TOP_RIGHT, Crowd, Coat, Overcoat, Clothing, Suit, Parade, Poster, TEXT_BOTTOM_CENTER, TEXT_BOTTOM_LEFT, TEXT_BOTTOM_RIGHT, Logo, Trademark"
"facebook10154146814364205","Person, People, Human, Stage, Crowd, Speech, Audience, Debate, TEXT_TOP_RIGHT, Book, TEXT_BOTTOM_LEFT, TEXT_BOTTOM_CENTER, TEXT_MIDDLE_CENTER, TEXT_TOP_CENTER, TEXT_MIDDLE_RIGHT, TEXT_MIDDLE_LEFT, TEXT_TOP_LEFT, TEXT_BOTTOM_RIGHT, Collage, Poster"
"facebook10154155444164205","People, Person, Human, Kiosk, TEXT_TOP_RIGHT, Bartender, Motorcycle, Trademark, Logo, TEXT_MIDDLE_CENTER, TEXT_MIDDLE_LEFT, TEXT_TOP_CENTER, TEXT_MIDDLE_RIGHT, Amusement Park, Worker, Transportation, Water, Leisure Activities, Water Park, TEXT_BOTTOM_LEFT"
"facebook10154161060920891","People, Person, Human, Fried Chicken, Food, Brick, Logo, Trademark, Rust, Bowl, Chocolate"
"facebook10154172213445891","Person, Human, People, Market, Kim Jong-nam, Josh Duggar, Food, Mademoiselle Yulia, Ian McNeice, Billboard, Peter Wright, Lê Đức Thọ, Akira Kushida, Carol Yinghua Lu, Bench, Back, Keiko Chiba, Flora, Plant, Leisure Activities"
"facebook10154172289215891","Food, Bbq, Person, Human, People, Plant, Tree, Maple, Flora, Logo, Trademark, Chocolate, Fudge, Dessert, Gutter, Pastry, Donut"
"facebook10154177504573387","Animal, Elephant, Wildlife, Mammal, Logo, Trademark, Human, Person, People, Nature, Word, Pool, Liquor, Alcohol, Building"
"facebook10154179084310891","Playing Soccer, People, Person, Human, Logo, Trademark, Dessert, Food, Cream, Creme, Cake"
"facebook10154180795918387","Person, People, Human, Fire, Poster, Trademark, Logo, Smoke, Sunlight, Word, Building, Factory, Sky, Sunset, Red Sky, Dusk, Nature, Sunrise, Dawn, Flame"
"facebook10154197943785891","Person, Human, People, Urban, Building, Architecture, City, Skyscraper, Town, Trademark, Logo, High Rise, Nature, Tony Dovolani, Rollo Weeks, Tripod, Swimwear, Clothing, Aerial View, Landscape"
"brightcove5007228050001","Human, Person, People, Transportation, Car, Automobile, Vehicle, Driving, Convertible, Bbq, Food, Tarmac, Asphalt, Engine, Machine, Motor, Coupe, Sports Car, Shipping Container, Road"
"brightcove5118400955001","Human, Person, People, Transportation, Automobile, Car, Road, Freeway, Vehicle, Sports Car, Coupe, Windshield, Highway, Driving, Field, Grassland, Outdoors, Couch, Car Mirror, Mirror"
"brightcove5236566603001","People, Human, Person, Car, Transportation, Automobile, Car Seat, Vehicle, TEXT_BOTTOM_RIGHT, TEXT_BOTTOM_LEFT, TEXT_BOTTOM_CENTER, Tire, Car Wheel, Wheel, Spoke, Plaid, Tartan"
"brightcove5487329678001","Person, Human, People, Dog, Animal, Pet, Automobile, Car, Sports Car, Coupe, Transportation, Golden Retriever, TEXT_BOTTOM_CENTER, Logo, Trademark, TEXT_TOP_LEFT, Canine, Mammal, Vehicle, TEXT_BOTTOM_RIGHT"
"brightcove5597079189001","Automobile, Car, Transportation, Vehicle, Flora, Plant, Jar, Pottery, Suv, Vase, Potted Plant, Logo, Trademark, Tire, Human, Person, People, TEXT_BOTTOM_LEFT, TEXT_BOTTOM_CENTER, Coupe"
"brightcove5664504437001","Car, Automobile, Transportation, Vehicle, People, Human, Person, Sports Car, Coupe, Suv, Windshield, Clothing, Coat, Overcoat, Convertible, Suit, Headrest, Car Show, Flora, Plant"
