"videoid;""analysistype"";""score"";""type"";""text"";""section"";""source""",
"facebook1386460418125111;""Entities"";0","99038690328598;""QUANTITY"";""six months"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999965667724609;;""weight loss"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","966436743736267;;""a 109 point clinical assessment"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","984288513660431;;""the medications"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","99844217300415;;""a negative test"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","993590116500854;;""the bottles"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","965392768383026;;""an over 90% success rate"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","99996829032898;""PERSON"";""Albus Dump"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999407649040222;;""your body"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","97966855764389;""QUANTITY"";""30"
"facebook1386460418125111;""KeyPhrases"";0","999411642551422;;""the end"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","992705464363098;;""a bit"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","999607563018799;;""their colon"";1;""subtitles"""
"facebook1386460418125111;""Entities"";0","901185929775238;""QUANTITY"";""first"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","785743713378906;;""these containers"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","9670170545578;""PERSON"";""Ryan Schneiderman"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","996956467628479;;""poop"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","998501598834992;;""every poop"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","977520644664764;;""Ryan Schneiderman"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","98987090587616;;""a pretty funny element"";0;""subtitles"""
"facebook1386460418125111;""Entities"";0","996666133403778;""QUANTITY"";""109 point"";0;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","998310327529907;;""Ryan"";1;""subtitles"""
"facebook1386460418125111;""KeyPhrases"";0","997397601604462;;""a healthy donor"";0;""subtitles"""
