"video_id","name","attribute_type"
"facebook10154870267304205","Motor","Rekognition Labels"
"facebook10154768807754205","Pedestrian","Rekognition Labels"
"facebook10154795623289205","Pedestrian","Rekognition Labels"
"facebook10154986308819205","Crowd","Rekognition Labels"
"facebook10155333763299205","Crowd","Rekognition Labels"
"facebook10154618928554205","Crowd","Rekognition Labels"
"facebook10154840630879205","Crowd","Rekognition Labels"
"facebook10155156653569205","Crowd","Rekognition Labels"
"facebook10154578321629205","Crowd","Rekognition Labels"
"facebook10154512789279205","Crowd","Rekognition Labels"
"facebook10153925858929205","Crowd","Rekognition Labels"
"facebook10154875697474205","Freeway","Rekognition Labels"
"facebook10154581247679205","Letter","Rekognition Labels"
"facebook10154836912159205","Letter","Rekognition Labels"
"facebook10154672059924205","License Plate","Rekognition Labels"
"facebook10154684443609205","Page","Rekognition Labels"
"facebook10153752474144205","Pedestrian","Rekognition Labels"
"facebook10153528453574205","Smile","Rekognition Labels"
"facebook10154875776849205","Smile","Rekognition Labels"
"facebook10154475706859205","Temple","Rekognition Labels"
"facebook10153734907314205","Crowd","Rekognition Labels"
"facebook10154065021179205","Crowd","Rekognition Labels"
"facebook10154494316084205","Crowd","Rekognition Labels"
"facebook10154155444164205","Crowd","Rekognition Labels"
"facebook10155068335464205","Crowd","Rekognition Labels"
"facebook10155167713914205","Crowd","Rekognition Labels"
"facebook10154556967779205","Crowd","Rekognition Labels"
"facebook10155011149294205","Driving","Rekognition Labels"
"facebook10154768807754205","Executive","Rekognition Labels"
"facebook10154768807754205","Freeway","Rekognition Labels"
"facebook10154494316084205","Jersey","Rekognition Labels"
"facebook10155131927994205","License Plate","Rekognition Labels"
"facebook10154410776394205","License Plate","Rekognition Labels"
"facebook10155035197919205","Newborn","Rekognition Labels"
"facebook10154986308819205","Page","Rekognition Labels"
"facebook10154495684584205","Pedestrian","Rekognition Labels"
"facebook1386460418125111","Plate Rack","Rekognition Labels"
"facebook10154859927574205","Scale","Rekognition Labels"
"facebook10155113408869205","Turban","Rekognition Labels"
